data,roll(fi) angle,pitch(theta) angle
1970-01-01 12:31:01,-178.9563,-1.3333
1970-01-01 12:31:11,-178.8994,-1.5056
1970-01-01 12:31:21,-178.5461,-1.3372
1970-01-01 12:31:31,-178.7218,-1.394
1970-01-01 12:31:41,-178.9093,-1.6068
1970-01-01 12:31:51,-178.7283,-1.3292
1970-01-01 12:32:01,-178.8972,-1.5087
1970-01-01 12:32:11,-178.8368,-1.5117
1970-01-01 12:32:21,-178.8983,-1.623
1970-01-01 12:32:31,-179.1882,-1.4493
1970-01-01 12:32:41,-178.8485,-1.5541
1970-01-01 12:32:51,-178.9573,-1.2741
1970-01-01 12:33:01,-178.4941,-1.216
1970-01-01 12:33:11,-178.6651,-1.6245
1970-01-01 12:33:21,-178.9027,-1.4434
1970-01-01 12:33:31,-178.7321,-1.498
1970-01-01 12:33:41,-178.5017,-1.4978
1970-01-01 12:33:51,-178.6042,-1.5697
1970-01-01 12:34:01,-178.9488,-1.5179
1970-01-01 12:34:11,-178.7811,-1.6246
1970-01-01 12:34:21,-178.8508,-1.7232
1970-01-01 12:34:31,-178.9646,-1.61
1970-01-01 12:34:41,-178.549,-1.4505
1970-01-01 12:34:51,-178.8368,-1.5698
1970-01-01 12:35:01,-178.7127,-1.4624
1970-01-01 12:35:11,-179.1931,-1.9013
1970-01-01 12:35:21,-178.6691,-1.7352
1970-01-01 12:35:31,-178.5607,-1.3238
1970-01-01 12:35:41,-178.6127,-1.2136
1970-01-01 12:35:51,-178.9038,-1.3266
1970-01-01 12:36:01,-178.9657,-1.551
1970-01-01 12:36:11,-178.8344,-1.573
1970-01-01 12:36:21,-178.7824,-1.565
1970-01-01 12:36:31,-178.6597,-1.2817
1970-01-01 12:36:41,-178.951,-1.2819
1970-01-01 12:36:51,-178.7359,-1.3212
1970-01-01 12:37:01,-178.8462,-1.6148
1970-01-01 12:37:11,-178.4378,-1.6195
1970-01-01 12:37:21,-178.5564,-1.674
1970-01-01 12:37:31,-178.7787,-1.2792
1970-01-01 12:37:41,-178.7946,-1.3773
1970-01-01 12:37:51,-178.8344,-1.4566
1970-01-01 12:38:01,-178.7897,-1.4404
1970-01-01 12:38:11,-178.6651,-1.6825
1970-01-01 12:38:21,-178.6745,-1.2676
1970-01-01 12:38:31,-179.0132,-1.5087
1970-01-01 12:38:41,-178.5106,-1.6606
1970-01-01 12:38:51,-178.7372,-1.5493
1970-01-01 12:39:01,-178.8356,-1.4551
1970-01-01 12:39:11,-179.0162,-1.215
1970-01-01 12:39:21,-178.7257,-1.3319
1970-01-01 12:39:31,-178.4487,-1.321
1970-01-01 12:39:41,-178.5505,-1.449
1970-01-01 12:39:51,-178.8893,-1.3442
1970-01-01 12:40:01,-178.8368,-1.8023
1970-01-01 12:40:11,-179.1939,-1.8419
1970-01-01 12:40:21,-178.6758,-1.3814
1970-01-01 12:40:31,-178.6141,-1.4432
1970-01-01 12:40:41,-178.491,-1.2765
1970-01-01 12:40:51,-178.9552,-1.4507
1970-01-01 12:41:01,-178.7885,-1.5572
1970-01-01 12:41:11,-178.8415,-1.2741
1970-01-01 12:41:21,-178.6597,-1.2817
1970-01-01 12:41:31,-178.4849,-1.3981
1970-01-01 12:41:41,-178.727,-1.2727
1970-01-01 12:41:51,-178.906,-1.439
1970-01-01 12:42:01,-178.8473,-1.6132
1970-01-01 12:42:11,-178.7205,-1.6279
1970-01-01 12:42:21,-178.6583,-1.7494
1970-01-01 12:42:31,-179.0202,-1.5557
1970-01-01 12:42:41,-178.8462,-1.5572
1970-01-01 12:42:51,-178.9016,-1.5026
1970-01-01 12:43:01,-178.7762,-1.5148
1970-01-01 12:43:11,-179.0694,-1.2793
1970-01-01 12:43:21,-179.0212,-1.5542
1970-01-01 12:43:31,-178.6224,-1.5493
1970-01-01 12:43:41,-178.4971,-1.4446
1970-01-01 12:43:51,-178.488,-1.5115
1970-01-01 12:44:01,-178.8972,-1.6247
1970-01-01 12:44:11,-178.8392,-1.3927
1970-01-01 12:44:21,-178.9626,-1.3253
1970-01-01 12:44:31,-178.9016,-1.5604
1970-01-01 12:44:41,-178.4314,-1.3358
1970-01-01 12:44:51,-179.0142,-1.5652
1970-01-01 12:45:01,-178.7848,-1.3884
1970-01-01 12:45:11,-178.9636,-1.5541
1970-01-01 12:45:21,-178.6758,-1.4389
1970-01-01 12:45:31,-178.5017,-1.4402
1970-01-01 12:45:41,-178.6691,-1.4462
1970-01-01 12:45:51,-178.6691,-1.504
1970-01-01 12:46:01,-178.9615,-1.4996
1970-01-01 12:46:11,-178.786,-1.5025
1970-01-01 12:46:21,-178.5461,-1.5115
1970-01-01 12:46:31,-178.6718,-1.6741
1970-01-01 12:46:41,-178.5032,-1.8414
1970-01-01 12:46:51,-178.7295,-1.7318
1970-01-01 12:47:01,-178.6637,-1.6842
1970-01-01 12:47:11,-178.6127,-1.7912
1970-01-01 12:47:21,-178.845,-1.6165
1970-01-01 12:47:31,-178.8427,-1.3884
1970-01-01 12:47:41,-178.7836,-1.2161
1970-01-01 12:47:51,-178.7749,-1.3997
1970-01-01 12:48:01,-178.7799,-1.8584
1970-01-01 12:48:11,-179.0132,-1.6827
1970-01-01 12:48:21,-178.9584,-1.6776
1970-01-01 12:48:31,-178.786,-1.3292
1970-01-01 12:48:41,-178.3272,-1.7873
1970-01-01 12:48:51,-178.6705,-1.6757
1970-01-01 12:49:01,-178.7231,-1.5086
1970-01-01 12:49:11,-178.9594,-1.4449
1970-01-01 12:49:21,-179.0192,-1.5573
1970-01-01 12:49:31,-178.7873,-1.501
1970-01-01 12:49:41,-178.8938,-1.1642
1970-01-01 12:49:51,-178.7166,-1.3997
1970-01-01 12:50:01,-179.0261,-1.6609
1970-01-01 12:50:11,-178.8531,-1.6051
1970-01-01 12:50:21,-178.7836,-1.3898
1970-01-01 12:50:31,-178.7127,-1.3455
1970-01-01 12:50:41,-178.6651,-1.5665
1970-01-01 12:50:51,-178.7346,-1.6674
1970-01-01 12:51:01,-178.7295,-1.2702
1970-01-01 12:51:11,-178.7774,-1.2805
1970-01-01 12:51:21,-178.8392,-1.6246
1970-01-01 12:51:31,-178.8344,-1.8059
1970-01-01 12:51:41,-179.1923,-1.7303
1970-01-01 12:51:51,-178.6745,-1.4404
1970-01-01 12:52:01,-178.3238,-1.56
1970-01-01 12:52:11,-178.5417,-1.5162
1970-01-01 12:52:21,-178.8403,-1.3912
1970-01-01 12:52:31,-179.1363,-1.6117
1970-01-01 12:52:41,-179.0122,-1.8586
1970-01-01 12:52:51,-178.5002,-1.6146
1970-01-01 12:53:01,-178.5402,-1.3426
1970-01-01 12:53:11,-178.8972,-1.3347
1970-01-01 12:53:21,-178.7811,-1.7986
1970-01-01 12:53:31,-178.9027,-1.6165
1970-01-01 12:53:41,-178.9541,-1.5102
1970-01-01 12:53:51,-178.549,-1.5085
1970-01-01 12:54:01,-178.4895,-1.51
1970-01-01 12:54:11,-178.9093,-1.6641
1970-01-01 12:54:21,-178.7283,-1.5025
1970-01-01 12:54:31,-178.6028,-1.8039
1970-01-01 12:54:41,-178.6678,-1.274
1970-01-01 12:54:51,-178.8972,-1.6247
1970-01-01 12:55:01,-179.0182,-1.8473
1970-01-01 12:55:11,-178.9584,-1.6776
1970-01-01 12:55:21,-178.6183,-1.4964
1970-01-01 12:55:31,-178.2028,-1.3908
1970-01-01 12:55:41,-178.7909,-1.3239
1970-01-01 12:55:51,-178.7334,-1.3814
1970-01-01 12:56:01,-178.7873,-1.501
1970-01-01 12:56:11,-178.7192,-1.5714
1970-01-01 12:56:21,-178.5047,-1.6672
1970-01-01 12:56:31,-178.9027,-1.5011
1970-01-01 12:56:41,-178.6718,-1.1547
1970-01-01 12:56:51,-178.9104,-1.4906
1970-01-01 12:57:01,-178.375,-1.5663
1970-01-01 12:57:11,-179.0062,-1.3442
1970-01-01 12:57:21,-179.0646,-1.4611
1970-01-01 12:57:31,-178.7737,-1.1677
1970-01-01 12:57:41,-179.0212,-1.6117
1970-01-01 12:57:51,-178.2678,-1.1545
1970-01-01 12:58:01,-178.266,-1.2134
1970-01-01 12:58:11,-178.9038,-1.5572
1970-01-01 12:58:21,-178.8403,-1.7389
1970-01-01 12:58:31,-179.0778,-1.6709
1970-01-01 12:58:41,-178.6651,-1.3926
1970-01-01 12:58:51,-178.6705,-1.3292
1970-01-01 12:59:01,-178.7897,-1.3828
1970-01-01 12:59:11,-178.7231,-1.4506
1970-01-01 12:59:21,-179.3062,-1.6761
1970-01-01 12:59:31,-178.7774,-1.5714
1970-01-01 12:59:41,-178.7257,-1.3319
1970-01-01 12:59:51,-178.5607,-1.4964
1970-01-01 13:00:01,-178.7321,-1.6131
1970-01-01 13:00:11,-178.7346,-1.495
1970-01-01 13:00:21,-178.4986,-1.5008
1970-01-01 13:00:31,-178.6127,-1.5602
1970-01-01 13:00:41,-178.8462,-1.4995
1970-01-01 13:00:51,-178.7295,-1.6741
1970-01-01 13:01:01,-178.8961,-1.6263
1970-01-01 13:01:11,-178.8961,-1.6263
1970-01-01 13:01:21,-178.8344,-1.3983
1970-01-01 13:01:31,-178.6651,-1.5086
